2024-10-18 10:04:50.548 INFO  [1556803] [main@353] The size of the original image matrix is: 341 x 256
2024-10-18 10:04:50.574 INFO  [1556803] [main@373] Noisy image saved to: ../ch1_result/output_noisy.png
2024-10-18 10:04:50.579 INFO  [1556803] [main@391] The Euclidean norm of v is: 35497.163746
2024-10-18 10:04:50.743 INFO  [1556803] [main@403] The number of non-zero entries in A1 is: 782086
2024-10-18 10:04:50.775 INFO  [1556803] [main@421] Smoothed image saved to: ../ch1_result/output_smoothed.png
2024-10-18 10:04:50.937 INFO  [1556803] [main@429] The number of non-zero entries in A2 is: 435286
2024-10-18 10:04:50.942 INFO  [1556803] [main@431] Matrix A2 is symmetric: 0
2024-10-18 10:04:51.053 INFO  [1556803] [main@450] Sharpened image saved to : ../ch1_result/output_sharpened.png
2024-10-18 10:04:54.986 INFO  [1556803] [main@499] Solver: cg
2024-10-18 10:04:54.986 INFO  [1556803] [main@500] Iterations: 1001
2024-10-18 10:04:54.986 INFO  [1556803] [main@501] Residual: 197.9200682412025
2024-10-18 10:04:54.986 INFO  [1556803] [main@502] Elapsed time: 3.381492 seconds
2024-10-18 10:04:55.316 INFO  [1556803] [main@499] Solver: bicg
2024-10-18 10:04:55.316 INFO  [1556803] [main@500] Iterations: 29
2024-10-18 10:04:55.316 INFO  [1556803] [main@501] Residual: 7.903487135350312e-10
2024-10-18 10:04:55.316 INFO  [1556803] [main@502] Elapsed time: 0.190413 seconds
2024-10-18 10:04:58.607 INFO  [1556803] [main@499] Solver: jacobi
2024-10-18 10:04:58.607 INFO  [1556803] [main@500] Iterations: 1001
2024-10-18 10:04:58.607 INFO  [1556803] [main@501] Residual: 9.292460559185734e-07
2024-10-18 10:04:58.607 INFO  [1556803] [main@502] Elapsed time: 3.151561 seconds
2024-10-18 10:04:58.885 INFO  [1556803] [main@499] Solver: gs
2024-10-18 10:04:58.885 INFO  [1556803] [main@500] Iterations: 34
2024-10-18 10:04:58.885 INFO  [1556803] [main@501] Residual: 8.100816251849505e-10
2024-10-18 10:04:58.885 INFO  [1556803] [main@502] Elapsed time: 0.140072 seconds
2024-10-18 10:04:59.129 INFO  [1556803] [main@499] Solver: bicgstab
2024-10-18 10:04:59.129 INFO  [1556803] [main@500] Iterations: 15
2024-10-18 10:04:59.129 INFO  [1556803] [main@501] Residual: 3.1783562251875146e-10
2024-10-18 10:04:59.129 INFO  [1556803] [main@502] Elapsed time: 0.102217 seconds
2024-10-18 10:04:59.434 INFO  [1556803] [main@499] Solver: gmres
2024-10-18 10:04:59.434 INFO  [1556803] [main@500] Iterations: 27
2024-10-18 10:04:59.434 INFO  [1556803] [main@501] Residual: 5.929124607287312e-10
2024-10-18 10:04:59.434 INFO  [1556803] [main@502] Elapsed time: 0.161890 seconds
2024-10-18 10:04:59.639 INFO  [1556803] [main@532] The number of non-zero entries in A3 is: 435286
2024-10-18 10:04:59.643 INFO  [1556803] [main@534] Matrix A3 is symmetric: 1
2024-10-18 10:04:59.727 INFO  [1556803] [main@551] Edge detection image saved to: ../ch1_result/output_laplacian.png
2024-10-18 10:05:00.191 INFO  [1556803] [main@581] Solver: ConjugateGradient
2024-10-18 10:05:00.191 INFO  [1556803] [main@582] Iterations: 32
2024-10-18 10:05:00.191 INFO  [1556803] [main@583] Final residual: 7.54012072370876e-11
2024-10-18 10:05:00.208 INFO  [1556803] [main@632] Image saved for solver: ConjugateGradient to ../ch1_result/ConjugateGradient_y.png
2024-10-18 10:05:00.811 INFO  [1556803] [main@598] Solver: BiCGSTAB
2024-10-18 10:05:00.811 INFO  [1556803] [main@599] Iterations: 23
2024-10-18 10:05:00.811 INFO  [1556803] [main@600] Final residual: 7.219492513089352e-11
2024-10-18 10:05:00.827 INFO  [1556803] [main@632] Image saved for solver: BiCGSTAB to ../ch1_result/BiCGSTAB_y.png
2024-10-18 10:05:14.426 INFO  [1556803] [main@615] Solver: SparseLU
2024-10-18 10:05:14.426 INFO  [1556803] [main@616] Final residual: 4.1256813710143794e-11
2024-10-18 10:05:14.461 INFO  [1556803] [main@632] Image saved for solver: SparseLU to ../ch1_result/SparseLU_y.png
